  3.838   3.838   0.000   0.000
  3.838   3.838   0.000   0.000
  3.838   3.838   0.000   0.000
  3.838   3.838   0.000   0.000
  3.838   3.838   0.000   0.000
  3.838   3.838   0.000   0.000
  3.838   3.838   0.000   0.000
  3.838   3.838   0.000   0.000
  3.838   3.838   0.000   0.000
  3.838   3.838   0.000   0.000
  3.838   3.839   0.001   0.001
  3.838   3.839   0.001   0.001
  3.838   3.847   0.009   0.009
  3.838   3.847   0.009   0.009
  3.838   3.847   0.009   0.009
  3.838   3.847   0.009   0.009
  3.838   3.847   0.009   0.009
  3.838   3.847   0.009   0.009
  3.838   3.847   0.009   0.009
  3.838   3.847   0.009   0.009
  3.838   3.847   0.009   0.009
  3.838   3.847   0.009   0.009
  3.838   3.838   0.000   0.000
  3.838   3.838   0.000   0.000
