1	0	3.623
2	0	3.623
3	0	3.623
4	0	3.623
5	0	3.623
6	0	3.623
7	0	3.623
8	0	3.623
9	0	3.623
10	0	3.623
11	0	3.623
12	0	3.623
13	0	3.623
14	0	3.623
15	0	3.623
16	0	3.623
17	0	3.623
18	0	3.623
19	0	3.623
20	0	3.623
21	0	3.623
22	0	3.623
23	0	3.623
24	0	3.623
25	0	3.623
26	0	3.623
27	0	3.623
28	0	3.623
29	0	3.623
30	0	3.623
31	0	3.623
32	0	3.623
33	0	3.623
34	0	3.623
35	0	3.623
36	0	3.623
37	0	3.623
38	0	3.623
39	0	3.623
40	0	3.623
41	0	3.623
42	0	3.623
43	0	3.623
44	0	3.623
45	0	3.623
46	0	3.623
47	0	3.623
48	0	3.623
49	0	3.623
50	0	3.623
51	0	3.623
52	0	3.623
53	0	3.623
54	0	3.623
55	0	3.623
56	0	3.623
57	0	3.623
58	0	3.623
59	0	3.623
60	0	3.623
61	0	3.623
62	0	3.623
63	0	3.623
64	0	3.623
65	0	3.623
66	0	3.623
67	0	3.623
68	0	3.623
69	0	3.623
70	0	3.623
71	0	3.623
72	0	3.623
73	0	3.623
74	0	3.623
75	0	3.623
76	0	3.623
77	0	3.623
78	0	3.623
79	0	3.623
80	0	3.623
81	0	3.623
82	0	3.623
83	0	3.623
84	0	3.623
85	0	3.623
86	0	3.623
87	0	3.623
88	0	3.623
89	0	3.623
90	0	3.623
91	0	3.623
92	0	3.623
93	0	3.623
94	0	3.623
95	0	3.623
96	0	3.623
97	0	3.623
98	0	3.623
99	0	3.623
100	0	3.623
101	0	3.623
102	0	3.623
103	0	3.623
104	0	3.623
105	0	3.623
106	0	3.623
107	0	3.623
108	0	3.623
109	0	3.623
110	0	3.623
111	0	3.623
112	0	3.623
113	0	3.623
114	0	3.623
115	0	3.623
116	0	3.623
117	0	3.623
118	0	3.623
119	0	3.623
120	0	3.623
121	0	3.623
122	0	3.623
123	0	3.623
124	0	3.623
125	0	3.623
126	0	3.623
127	0	3.623
128	0	3.623
129	0	3.623
130	0	3.623
131	0	3.623
132	0	3.623
133	0	3.623
134	0	3.623
135	0	3.623
136	0	3.623
137	0	3.623
138	0	3.623
139	0	3.623
140	0	3.623
141	0	3.623
142	0	3.623
143	0	3.623
144	0	3.623
145	0	3.623
146	0	3.623
147	0	3.623
148	0	3.623
149	0	3.623
150	0	3.623
151	0	3.623
152	0	3.623
153	0	3.623
154	0	3.623
155	0	3.623
156	0	3.623
157	0	3.623
158	0	3.623
159	0	3.623
160	0	3.623
161	0	3.623
162	0	3.623
163	0	3.623
164	0	3.623
165	2.67	3.56
166	2.67	3.555
167	2.67	3.553
168	2.67	3.552
169	2.67	3.55
170	2.67	3.549
171	2.67	3.549
172	2.67	3.548
173	2.67	3.547
174	2.67	3.546
175	2.67	3.545
176	2.67	3.545
177	2.67	3.544
178	2.67	3.544
179	2.67	3.543
180	2.67	3.543
181	2.67	3.542
182	2.67	3.542
183	2.67	3.541
184	2.67	3.541
185	2.67	3.54
186	2.67	3.54
187	2.67	3.54
188	2.67	3.539
189	2.67	3.539
190	2.67	3.538
191	2.67	3.538
192	2.67	3.538
193	2.67	3.537
194	2.67	3.537
195	2.67	3.537
196	2.67	3.536
197	2.67	3.536
198	2.67	3.536
199	2.67	3.536
200	2.67	3.535
201	2.67	3.535
202	2.67	3.535
203	2.67	3.535
204	2.67	3.534
205	2.67	3.534
206	2.67	3.534
207	2.67	3.534
208	2.67	3.533
209	2.67	3.533
210	2.67	3.533
211	2.67	3.532
212	2.67	3.532
213	2.67	3.532
214	2.67	3.532
215	2.67	3.532
216	2.67	3.531
217	2.67	3.531
218	2.67	3.531
219	2.67	3.531
220	2.67	3.531
221	2.67	3.531
222	2.67	3.53
223	2.67	3.53
224	2.67	3.53
225	2.67	3.53
226	2.67	3.529
227	2.67	3.529
228	2.67	3.529
229	2.67	3.529
230	2.67	3.529
231	2.67	3.529
232	2.67	3.529
233	2.67	3.529
234	2.67	3.528
235	2.67	3.528
236	2.67	3.528
237	2.67	3.528
238	2.67	3.528
239	2.67	3.528
240	2.67	3.527
241	2.67	3.527
242	2.67	3.527
243	2.67	3.527
244	2.67	3.527
245	2.67	3.527
246	2.67	3.527
247	2.67	3.527
248	2.67	3.526
249	2.67	3.526
250	2.67	3.526
251	2.67	3.526
252	2.67	3.526
253	2.67	3.526
254	2.67	3.526
255	2.67	3.525
256	2.67	3.525
257	2.67	3.525
258	2.67	3.525
259	2.67	3.525
260	2.67	3.525
261	2.67	3.525
262	2.67	3.524
263	2.67	3.524
264	2.67	3.524
265	2.67	3.524
266	2.67	3.524
267	2.67	3.524
268	2.67	3.524
269	2.67	3.524
270	2.67	3.523
271	2.67	3.523
272	2.67	3.523
273	2.67	3.523
274	2.67	3.523
275	2.67	3.523
276	2.67	3.522
277	2.67	3.522
278	2.67	3.522
279	2.67	3.522
280	2.67	3.522
281	2.67	3.522
282	2.67	3.522
283	2.67	3.522
284	2.67	3.522
285	2.67	3.522
286	2.67	3.521
287	2.67	3.521
288	2.67	3.521
289	2.67	3.521
290	2.67	3.521
291	2.67	3.521
292	2.67	3.521
293	2.67	3.521
294	2.67	3.52
295	2.67	3.52
296	2.67	3.52
297	2.67	3.52
298	2.67	3.52
299	2.67	3.52
300	2.67	3.52
301	2.67	3.52
302	2.67	3.52
303	2.67	3.52
304	2.67	3.52
305	2.67	3.52
306	2.67	3.52
307	2.67	3.519
308	2.67	3.519
309	2.67	3.519
310	2.67	3.519
311	2.67	3.519
312	2.67	3.519
