0	4.02319691313	0	4.02553293757	0	4.03255966747	0	4.02086404043	0	4.02506548176	0	4.02670212376	0	4.02927706893	0	4.03490804502	0	4.02459815121	0	4.034203213	0	4.02133036161	0	4.01644035624	0	4.02553293757	0	4.02646822415	0	4.02413094612	0	4.02576671238	0	4.03255966747	0	4.02296348361	0	4.02763803332	0	4.01644035624	0	4.01853434485	0	4.02063092748	0	4.02296348361	0	4.02366386669	
818	4.02319691313	818	4.02553293757	818	4.03255966747	818	4.02086404043	818	4.02506548176	818	4.02670212376	818	4.02927706893	818	4.03490804502	818	4.02459815121	818	4.034203213	818	4.02133036161	818	4.01644035624	818	4.02553293757	818	4.02646822415	818	4.02413094612	818	4.02576671238	818	4.03255966747	818	4.02296348361	818	4.02763803332	818	4.01644035624	818	4.01853434485	818	4.02063092748	818	4.02296348361	818	4.02366386669	
1764	4.02287607107	1764	4.02509381846	1764	4.03177281779	1764	4.02065719778	1764	4.02464889519	1764	4.02620158403	1764	4.02864557749	1764	4.03399474256	1764	4.02419408225	1764	4.03331281379	1764	4.02109080919	1764	4.01644035624	1764	4.02507621394	1764	4.02596275717	1764	4.02374654164	1764	4.02529622547	1764	4.03173377374	1764	4.02263259877	1764	4.02706672176	1764	4.01644035624	1764	4.01842965257	1764	4.02042046998	1764	4.02262727473	1764	4.02328775257	
2730	4.02250603473	2730	4.02458926728	2730	4.03087131526	2730	4.02042095675	2730	4.02417490127	2730	4.02563475324	2730	4.02793308952	2730	4.03296820799	2730	4.02374134021	2730	4.03232295388	2730	4.02082366163	2730	4.01644035624	2730	4.02457166965	2730	4.02540692639	2730	4.02332526385	2730	4.02478129427	2730	4.03083688192	2730	4.02227291196	2730	4.026447938	2730	4.01644035624	2730	4.01831699062	2730	4.02019478227	2730	4.02226720914	2730	4.02288785798	
3685	4.02212829227	3685	4.02407426519	3685	4.02995335108	3685	4.02017232558	3685	4.02369258862	3685	4.02505680931	3685	4.02720671709	3685	4.03191508298	3685	4.0232796793	3685	4.03131439201	3685	4.02055177946	3685	4.01644035624	3685	4.02405774062	3685	4.02483959361	3685	4.02289522145	3685	4.02425624554	3685	4.02992589382	3685	4.02190611152	3685	4.02581704881	3685	4.01644035624	3685	4.01820207689	3685	4.01996484404	3685	4.02190079026	3685	4.02248831277	
4646	4.02175457673	4646	4.02356480959	4646	4.02904461967	4646	4.0199235726	4646	4.02321446814	4646	4.02448452609	4646	4.02648754342	4646	4.0308768597	4646	4.02282297584	4646	4.03031669576	4646	4.02028249639	4646	4.01644035624	4646	4.02354882433	4646	4.02427840041	4646	4.02246978611	4646	4.02373686127	4646	4.02901813247	4646	4.02154322208	4646	4.0251930184	4646	4.01644035624	4646	4.0180883649	4646	4.01973685764	4646	4.02153752229	4646	4.02208333973	
5606	4.02137902353	5606	4.02305290542	5606	4.02813181006	5606	4.01967331062	5606	4.0227256819	5606	4.02390892322	5606	4.02576428291	5606	4.02982765809	5606	4.02236262137	5606	4.02931075771	5606	4.02001073696	5606	4.01644035624	5606	4.02303532884	5606	4.02371276876	5606	4.02204093876	5606	4.02321335151	5606	4.0281034432	5606	4.02117740356	5606	4.02456408427	5606	4.01644035624	5606	4.01797371136	5606	4.01950724583	5606	4.02117170529	5606	4.02167553896	
6556	4.02100436883	6556	4.02254228263	6556	4.02722157542	6556	4.01942388122	6556	4.02224430525	6556	4.0233359852	6556	4.02504445571	6556	4.0287878852	6556	4.02190530918	6556	4.02830753858	6556	4.01974073011	6556	4.01644035624	6556	4.02252577773	6556	4.02315033586	6556	4.02161491454	6556	4.02269332789	6556	4.02719512682	6556	4.02081397462	6556	4.02393939115	6556	4.01644035624	6556	4.01785990217	6556	4.01927910833	6556	4.02080865756	6556	4.02127083914	
7514	4.02062424508	7514	4.02203666487	7514	4.02632054922	7514	4.019176844	7514	4.02176149233	7514	4.0227600697	7514	4.02433030915	7514	4.02775340812	7514	4.02145055854	7514	4.02731141921	7514	4.01947303821	7514	4.01644035624	7514	4.02201963436	7514	4.02259227123	7514	4.02118693597	7514	4.02217624335	7514	4.0262922236	7514	4.02045255365	7514	4.02331828105	7514	4.01644035624	7514	4.01774646098	7514	4.01905034282	7514	4.02044723798	7514	4.02086796801	
8483	4.02023982854	8483	4.02152700407	8483	4.02541260779	8483	4.01892777824	8483	4.02127274131	8483	4.02218475439	8483	4.02361133054	8483	4.02670863948	8483	4.02099311537	8483	4.02630773931	8483	4.01920287111	8483	4.01644035624	8483	4.02150998035	8483	4.02203035964	8483	4.02075037731	8483	4.02165612372	8483	4.02538430291	8483	4.02008896481	8483	4.02269423003	8483	4.01644035624	8483	4.01763267355	8483	4.01881217701	8483	4.02008403001	8483	4.02046311723	
9443	4.01986002287	9443	4.02101117917	9443	4.02449398235	9443	4.01867564566	9443	4.02078597872	9443	4.02160546889	9443	4.0228837806	9443	4.02565856446	9443	4.02053011974	9443	4.02529953659	9443	4.01892966731	9443	4.01644035624	9443	4.02099363068	9443	4.02146109027	9443	4.0203124375	9443	4.02112917543	9443	4.0244684186	9443	4.01972055475	9443	4.02206072767	9443	4.01644035624	9443	4.01751687391	9443	4.01856982489	9443	4.01971486256	9443	4.02005163795	
